Category,Number,Name,Course Level,Credit Hours,Course Term,Course Location,Prerequisites,Corequisites,Sessions
IS,3311,Research Writing,Undergraduate,3,Fall,On-campus,None,None,
IS,4350,Dynamics of Religious Experience,Undergraduate,3,Spring,On-campus,None,None,
IS,3351,Dynamics of Cross-Cultural Service,Undergraduate,3,Fall,On-campus,None,None,
IS,3352,Globalization,Undergraduate,3,Spring,On-campus,None,None,
IS,3364,Theory and Reality of Development,Undergraduate,3,Spring,On-campus,None,None,
IS,4320,Cross-Cultural Experience,Undergraduate,3,Summer,On-campus,None,None,
IS,4321,Cross-Cultural Internship,Undergraduate,3,Fall,On-campus,None,None,
IS,4361,Cross-Cultural Communication,Undergraduate,3,Spring,On-campus,None,None,
IS,3325,Missiology,Undergraduate,3,Fall,On-campus,None,None,
AA,4202,Audio and Video Techniques for Fieldworkers,Undergraduate,2,Spring,On-campus,None,None,
AA,4350,Language and Society,Undergraduate,3,Spring/Fall,On-campus,None,None,
AA,4370,Cultural Anthropology,Undergraduate,3,Spring/Fall,On-campus,None,None,
AA,4370a,Cultural Anthropology (research supplement),Undergraduate,1,Spring/Fall,On-campus,Any introductory course in cultural anthropology from an accredited institution,None,
AA,4372,Political and Social Systems,Undergraduate,3,Spring,On-campus,AA4370 Cultural Anthropology,None,
AA,4387,Training Across Cultures,Undergraduate,3,Spring/Fall,On-campus,AA4370 Cultural Anthropology or AA4505 Second Language and Culture Acquisition,None,
AA,4505,Second Language and Culture Acquisition,Undergraduate,5,Spring/Fall,On-campus,Either AL4304 Introduction to Language Structure or both AL4302 Principles of Articulatory and Acoustic Phonetics and AL4410a Principles of Grammatical Analysis,None,
AA,5151,Cross-Cultural Teaching Seminar,Graduate,1,Spring/Fall,On-campus,AA4350 Language and Society or AA4505 Second Language and Culture Acquisition,None,
AA,5190,Thesis Writing,Graduate,1,Spring/Fall,On-campus,Completion of at least 5 graduate courses  ,None,
AA,5191,Thesis,Graduate,1,Spring/Fall,On-campus,None,None,
AC,5310,Core Components of Islam,Graduate,3,Fall,On-campus,None,None,"2,3,4"
AC,5312,Islam in the 21st Century,Graduate,3,Spring/Fall,On-campus,None,None,
AC,5314,Modern Islamic Religious and Political Movements,Graduate,3,Spring,Intensive,None,None,4
AC,5316,Contextualization Issues Among Muslim Peoples (Online),Graduate,3,Spring,Online,None,None,"3,4"
AC,5318,Understanding the Qur'an,Graduate,3,Fall,On-campus,None,None,4
AA,5321,Multicultural Teamwork (Online),Graduate,3,Fall,Online,AA4370 Cultural Anthropology and AA4350 Language and Society or permission of instructor,None,
AA,5323,Multicultural Leadership,Graduate,3,Fall,On-campus,AA4370 Cultural Anthropology and AA4350 Language and Society,None,
AA,5325,Foundations of Cross-Cultural Service,Graduate,3,Spring,On-campus,None,None,
AA,5333,Principles of Literacy,Graduate,3,Fall,On-campus,"AA4350 Language and Society, and either AL4303 Principles of Phonological Analysis and  AL4410a Principles of Grammatical Analysis (a), or AL4304 Introduction to Language Structure ",None,"2,3"
AA,5337,Readings in Ethnology,Graduate,3,Spring/Fall,On-campus,AA4370 Cultural Anthropology or permission of  instructor,None,
AA,5339,Research Methods for World Arts,Graduate,3,Fall,On-campus,AA4370 Cultural Anthropology or permission of the instructor,None,"2,3"
AA,5340,Ethnographic Research Methods,Graduate,3,Spring,On-campus,AA4370 Cultural Anthropology,None,
AA,5341,Social Science Research Design and Methods,Graduate,3,Fall,On-campus,AA5342 Statistical Methods or permission of instructor,None,
AA,5342,Statistical Methods,Graduate,3,Fall,On-campus,None,None,
AA,5343,Principles of Multilingual Education,Graduate,3,Fall,On-campus,None,None,"2,3"
AA,5344,Comparative International Education,Graduate,3,TBD,On-campus,None,None,
AA,5349,Readings in Literacy,Graduate,3,Spring/Fall,On-campus,None,None,
AA,5352,Language Program Design and Management,Graduate,3,Spring,On-campus,AA4350 Language and Society or permission of instructor,None,
AA,5353,Language Development and Planning,Graduate,3,Spring,On-campus,AA4350 Language and Society ,None,4
AA,5354,Language Contact,Graduate,3,Fall,On-campus,AA4350 Language and Society ,None,
AA,5355,Scripture Engagement Strategy and Methods,Graduate,3,Spring,On-campus,AA4350 Language and Society or permission of instructor,None,1
AA,5356,Current Issues in Scripture Engagement (Online),Graduate,3,Spring,Online,"AA5355 Scripture Engagement Strategy and Methods, plus one of the following: AA5373 Religion and Worldview, AA5374 Christianity across Cultures, or permission of instructor.",None,
AA,5357,Oral Tradition and Literature,Graduate,3,Fall,On-campus,None,None,4
AA,5361,Principles of Language Survey,Graduate,3,Spring,On-campus,AA4350 Language and Society ,None,
AA,5362,Language Survey Methods,Graduate,3,Spring,On-campus,"AL4303 Principles of Phonological Analysis, AA5361 Principles of Language Survey",None,"2,3"
AA,5364,Theories and Practices in Community Development,Graduate,3,TBD,On-campus,None,None,
AA,5366,Theory and Practice of Sociolinguistics,Graduate,3,Spring,On-campus,AA4350 Language and Society,None,
AA,5368,Seminar in Sociolinguistics,Graduate,3,Fall,On-campus,None,None,
AA,5369,Readings in Sociolinguistics,Graduate,3,Spring/Fall,On-campus,None,None,
AA,5372,Social and Political Organization,Graduate,3,Fall,On-campus,AA4370 Cultural Anthropology,None,
AA,5373,Religion and Worldview,Graduate,3,TBD,On-campus,AA4370 Cultural Anthropology,None,4
AA,5374,Christianity Across Cultures,Graduate,3,Fall,On-campus,AA4370 Cultural Anthropology,None,4
AA,5375,Culture Change & Minority Cultures,Graduate,3,Spring,On-campus,AA4370 Cultural Anthropology or permission of instructor,None,"2,3"
AA,5377,Area Studies,Graduate,3,Fall,On-campus,AA4370 Cultural Anthropology or permission of the instructor,None,
AA,5381,Arts for a Better Future (Intensive),Graduate,3,Summer,Intensive,None,None,1
AA,5382,Applied Arts,Graduate,3,Fall,On-campus,AA5339 Research Methods for World Arts or AA5384 Expressive Form Analysis or permission of instructor,None,4
AA,5383,Arts and Trauma Healing (Intensive),Graduate,3,Spring,Intensive,None,None,"1,2"
